,country,continent,census,year,size_category,area_of_holdings,number_of_holdings
0,Australia,Oceania,1950,1950,Under 1.2 hectares,1661.0,2500.0
1,Australia,Oceania,1950,1950,1.2 and under 4.7 hectares,28296.0,12330.0
2,Australia,Oceania,1950,1950,4.7 and under 10.1 hectares,119223.0,18320.0
3,Australia,Oceania,1950,1950,10.1 and under 20.2 hectares,226098.0,15588.0
4,Australia,Oceania,1950,1950,20.2 and under 40.5 hectares,640580.0,21847.0
5,Australia,Oceania,1950,1950,40.5 and under 101.2 hectares,3002418.0,45617.0
6,Australia,Oceania,1950,1950,101.2 and under 202.3 hectares,4867308.0,33694.0
7,Australia,Oceania,1950,1950,202.3 and under 404.7 hectares,9786087.0,33985.0
8,Australia,Oceania,1950,1950,404.7 and under 1011.7 hectares,21349070.0,33962.0
9,Australia,Oceania,1950,1950,1011.7 hectares and over,335767632.0,27424.0
10,Austria,Europe,1950,1951,Under 2 hectares,120543.0,105213.0
11,Austria,Europe,1950,1951,2 and under 5 hectares,340672.0,102687.0
12,Austria,Europe,1950,1951,5 and under 10 hectares,583000.0,81547.0
13,Austria,Europe,1950,1951,10 and under 20 hectares,1102854.0,76874.0
14,Austria,Europe,1950,1951,20 and under 50 hectares,1514760.0,52166.0
15,Austria,Europe,1950,1951,50 and under 100 hectares,541895.0,8083.0
16,Austria,Europe,1950,1951,100 and under 200 hectares,461533.0,3322.0
17,Austria,Europe,1950,1951,200 and under 500 hectares,556556.0,1842.0
18,Austria,Europe,1950,1951,500 and under 1000 hectares,389827.0,558.0
19,Austria,Europe,1950,1951,1000 hectares and over,2114588.0,556.0
20,Belgium,Europe,1950,1950,1 and under 3 hectares,174006.0,102173.0
21,Belgium,Europe,1950,1950,3 and under 5 hectares,197595.0,50537.0
22,Belgium,Europe,1950,1950,5 and under 10 hectares,407911.0,57708.0
23,Belgium,Europe,1950,1950,10 and under 20 hectares,442150.0,32276.0
24,Belgium,Europe,1950,1950,20 and under 50 hectares,319793.0,11327.0
25,Belgium,Europe,1950,1950,50 and under 100 hectares,120577.0,1777.0
26,Belgium,Europe,1950,1950,100 hectares and over,39506.0,304.0
27,Canada,North America,1950,1951,Under 1.2 hectares,1464.0,2258.0
28,Canada,North America,1950,1951,1.2 and under 4.0 hectares,49329.0,22446.0
29,Canada,North America,1950,1951,4.0 and under 28.3 hectares,1232267.0,83264.0
30,Canada,North America,1950,1951,28.3 and under 97.1 hectares,15859942.0,293872.0
31,Canada,North America,1950,1951,97.1 and under 226.6 hectares,21913532.0,151138.0
32,Canada,North America,1950,1951,226.6 and under 453.2 hectares,16015508.0,53486.0
33,Canada,North America,1950,1951,453.2 hectares and over,15361158.0,16627.0
34,Costa Rica,North America,1950,1950,0.7 and up to 6 hectares,52974.0,18976.0
35,Costa Rica,North America,1950,1950,7 and up to 10 hectares,34797.0,4263.0
36,Costa Rica,North America,1950,1950,11 and up to 20 hectares,90731.0,6206.0
37,Costa Rica,North America,1950,1950,21 and up to 34 hectares,131991.0,5107.0
38,Costa Rica,North America,1950,1950,35 and up to 69 hectares,216581.0,4703.0
